Commodity,Date,Unit,Minimum,Maximum,Average
Jack Fruit,6/12/2024,KG,Rs 40.00,Rs 60.00,Rs 50.00
Pear(Chinese),6/12/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Indian),6/12/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Litchi(Local),6/12/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Litchi(Indian),6/12/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Kiwi,6/12/2024,KG,Rs 550.00,Rs 600.00,Rs 575.00
Avocado,6/12/2024,KG,Rs 550.00,Rs 600.00,Rs 575.00
Ginger,6/12/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Chilli Dry,6/12/2024,KG,Rs 400.00,Rs 450.00,Rs 425.00
Chilli Green,6/12/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Chilli Green(Bullet),6/12/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Chilli Green(Machhe),6/12/2024,KG,Rs 30.00,Rs 40.00,Rs 36.00
Chilli Green(Akbare),6/12/2024,KG,Rs 300.00,Rs 400.00,Rs 350.00
Capsicum,6/12/2024,KG,Rs 50.00,Rs 60.00,Rs 56.00
Garlic Green,6/12/2024,KG,Rs 50.00,Rs 70.00,Rs 60.00
Coriander Green,6/12/2024,KG,Rs 250.00,Rs 300.00,Rs 272.00
Garlic Dry Chinese,6/12/2024,KG,Rs 220.00,Rs 240.00,Rs 230.00
Garlic Dry Nepali,6/12/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Clive Dry,6/12/2024,KG,Rs 120.00,Rs 150.00,Rs 135.00
Fish Fresh(Rahu),6/12/2024,KG,Rs 320.00,Rs 330.00,Rs 325.00
Fish Fresh(Bachuwa),6/12/2024,KG,Rs 240.00,Rs 250.00,Rs 245.00
Fish Fresh(Chhadi),6/12/2024,KG,Rs 240.00,Rs 260.00,Rs 250.00
Fish Fresh(Mungari),6/12/2024,KG,Rs 320.00,Rs 330.00,Rs 325.00
King Oyster,6/12/2024,Kg,Rs 280.00,Rs 300.00,Rs 290.00
Tomato Big(Nepali),6/11/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Big(Indian),6/11/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Small(Local),6/11/2024,KG,Rs 20.00,Rs 25.00,Rs 22.33
Tomato Small(Tunnel),6/11/2024,KG,Rs 26.00,Rs 32.00,Rs 29.33
Potato Red,6/11/2024,KG,Rs 50.00,Rs 55.00,Rs 52.33
Potato Red(Indian),6/11/2024,KG,Rs 46.00,Rs 48.00,Rs 47.00
Potato Red(Mude),6/11/2024,KG,Rs 46.00,Rs 48.00,Rs 47.00
Onion Dry (Indian),6/11/2024,KG,Rs 75.00,Rs 80.00,Rs 77.67
Carrot(Local),6/11/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cabbage(Local),6/11/2024,KG,Rs 18.00,Rs 22.00,Rs 20.00
Cauli Local,6/11/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cauli Local(Jyapu),6/11/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Raddish Red,6/11/2024,KG,Rs 35.00,Rs 40.00,Rs 37.67
Raddish White(Hybrid),6/11/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Brinjal Long,6/11/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,6/11/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cow pea(Long),6/11/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Cowpea(Short),6/11/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Green Peas,6/11/2024,KG,Rs 220.00,Rs 240.00,Rs 230.00
French Bean(Local),6/11/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
French Bean(Hybrid),6/11/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
French Bean(Rajma),6/11/2024,KG,Rs 130.00,Rs 150.00,Rs 138.33
Soyabean Green,6/11/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Bitter Gourd,6/11/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Bottle Gourd,6/11/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Local),6/11/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pointed Gourd(Terai),6/11/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Snake Gourd,6/11/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Smooth Gourd,6/11/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Sponge Gourd,6/11/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pumpkin,6/11/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Squash(Long),6/11/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Squash(Round),6/11/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Okara,6/11/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Sweet Potato,6/11/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Arum,6/11/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Christophine,6/11/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Brd Leaf Mustard,6/11/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Mustard Leaf,6/11/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Onion Green,6/11/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Mushroom(Kanya),6/11/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Mushroom(Button),6/11/2024,KG,Rs 300.00,Rs 350.00,Rs 326.67
Asparagus,6/11/2024,KG,Rs 250.00,Rs 280.00,Rs 263.33
