Commodity,Date,Unit,Minimum,Maximum,Average
Mushroom(Kanya),4/22/2024,KG,Rs 160.00,Rs 200.00,Rs 180.00
Mushroom(Button),4/22/2024,KG,Rs 350.00,Rs 400.00,Rs 375.00
Asparagus,4/22/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Neuro,4/22/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Brocauli,4/22/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Sugarbeet,4/22/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Drumstick,4/22/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Bauhania flower,4/22/2024,KG,Rs 200.00,Rs 250.00,Rs 233.33
Red Cabbbage,4/22/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Lettuce,4/22/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Knolkhol,4/22/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Celery,4/22/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Parseley,4/22/2024,KG,Rs 150.00,Rs 180.00,Rs 165.00
Fennel Leaf,4/22/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Mint,4/22/2024,KG,Rs 140.00,Rs 160.00,Rs 150.00
Turnip A,4/22/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Tamarind,4/22/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,4/22/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,4/22/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,4/22/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Fuji),4/22/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Banana,4/22/2024,Per Dozen,Rs 130.00,Rs 140.00,Rs 135.00
Lime,4/22/2024,KG,Rs 240.00,Rs 260.00,Rs 250.00
Pomegranate,4/22/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Grapes(Green),4/22/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Grapes(Black),4/22/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Orange(Indian),4/22/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Water Melon(Green),4/22/2024,KG,Rs 45.00,Rs 50.00,Rs 48.33
Sweet Orange,4/22/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Mandarin,4/22/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Pineapple,4/22/2024,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),4/22/2024,KG,Rs 50.00,Rs 70.00,Rs 60.00
Cucumber(Hybrid),4/22/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Jack Fruit,4/22/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Papaya(Nepali),4/22/2024,KG,Rs 90.00,Rs 100.00,Rs 93.33
Papaya(Indian),4/22/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Strawberry,4/22/2024,KG,Rs 350.00,Rs 400.00,Rs 375.00
Kiwi,4/22/2024,KG,Rs 450.00,Rs 500.00,Rs 475.00
Avocado,4/22/2024,KG,Rs 550.00,Rs 600.00,Rs 575.00
Ginger,4/22/2024,KG,Rs 260.00,Rs 280.00,Rs 270.00
Chilli Dry,4/22/2024,KG,Rs 400.00,Rs 450.00,Rs 425.00
Chilli Green,4/22/2024,KG,Rs 50.00,Rs 60.00,Rs 56.00
Chilli Green(Bullet),4/22/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Machhe),4/22/2024,KG,Rs 100.00,Rs 110.00,Rs 106.67
Capsicum,4/22/2024,KG,Rs 120.00,Rs 130.00,Rs 126.00
Garlic Green,4/22/2024,KG,Rs 150.00,Rs 200.00,Rs 176.67
Coriander Green,4/22/2024,KG,Rs 50.00,Rs 80.00,Rs 64.00
Garlic Dry Chinese,4/22/2024,KG,Rs 270.00,Rs 280.00,Rs 276.00
Garlic Dry Nepali,4/22/2024,KG,Rs 150.00,Rs 160.00,Rs 156.67
Clive Dry,4/22/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Clive Green,4/22/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Fish Fresh(Rahu),4/22/2024,KG,Rs 330.00,Rs 350.00,Rs 340.00
Fish Fresh(Bachuwa),4/22/2024,KG,Rs 250.00,Rs 260.00,Rs 255.00
Fish Fresh(Chhadi),4/22/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Fish Fresh(Mungari),4/22/2024,KG,Rs 330.00,Rs 350.00,Rs 340.00
Tomato Big(Nepali),4/21/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Big(Indian),4/21/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),4/21/2024,KG,Rs 25.00,Rs 30.00,Rs 27.67
Tomato Small(Indian),4/21/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Tomato Small(Terai),4/21/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Potato Red,4/21/2024,KG,Rs 45.00,Rs 50.00,Rs 47.67
Potato Red(Indian),4/21/2024,KG,Rs 45.00,Rs 50.00,Rs 47.67
Potato White,4/21/2024,KG,Rs 38.00,Rs 40.00,Rs 39.00
Onion Dry (Indian),4/21/2024,KG,Rs 65.00,Rs 70.00,Rs 67.67
Carrot(Local),4/21/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Carrot(Terai),4/21/2024,KG,Rs 25.00,Rs 35.00,Rs 30.00
Cabbage(Local),4/21/2024,KG,Rs 30.00,Rs 35.00,Rs 32.67
Cabbage,4/21/2024,KG,Rs 25.00,Rs 30.00,Rs 27.67
Cauli Local,4/21/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local(Jyapu),4/21/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Raddish White(Local),4/21/2024,KG,Rs 25.00,Rs 35.00,Rs 30.00
Raddish White(Hybrid),4/21/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Long,4/21/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Brinjal Round,4/21/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cow pea(Long),4/21/2024,KG,Rs 130.00,Rs 140.00,Rs 135.00
Green Peas,4/21/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
French Bean(Local),4/21/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
French Bean(Hybrid),4/21/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
French Bean(Rajma),4/21/2024,KG,Rs 110.00,Rs 130.00,Rs 120.00
Sword Bean,4/21/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Bitter Gourd,4/21/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bottle Gourd,4/21/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Pointed Gourd(Local),4/21/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Pointed Gourd(Terai),4/21/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Snake Gourd,4/21/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Smooth Gourd,4/21/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pumpkin,4/21/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Squash(Long),4/21/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Squash(Round),4/21/2024,KG,Rs 25.00,Rs 30.00,Rs 27.67
Turnip,4/21/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Okara,4/21/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Sweet Potato,4/21/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Barela,4/21/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Christophine,4/21/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Brd Leaf Mustard,4/21/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Spinach Leaf,4/21/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Cress Leaf,4/21/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Mustard Leaf,4/21/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Fenugreek Leaf,4/21/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Onion Green,4/21/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Bakula,4/21/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Yam,4/21/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mushroom(Kanya),4/21/2024,KG,Rs 150.00,Rs 180.00,Rs 163.33
Mushroom(Button),4/21/2024,KG,Rs 350.00,Rs 400.00,Rs 376.67
Neuro,4/21/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brocauli,4/21/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Sugarbeet,4/21/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Drumstick,4/21/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Bauhania flower,4/21/2024,KG,Rs 150.00,Rs 200.00,Rs 176.67
Red Cabbbage,4/21/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Lettuce,4/21/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Knolkhol,4/21/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Celery,4/21/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Parseley,4/21/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Fennel Leaf,4/21/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Mint,4/21/2024,KG,Rs 120.00,Rs 150.00,Rs 133.33
Turnip A,4/21/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Tamarind,4/21/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Bamboo Shoot,4/21/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Tofu,4/21/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,4/21/2024,KG,Rs 250.00,Rs 300.00,Rs 276.67
Apple(Fuji),4/21/2024,KG,Rs 300.00,Rs 350.00,Rs 326.67
Banana,4/21/2024,Per Dozen,Rs 130.00,Rs 140.00,Rs 135.00
Lime,4/21/2024,KG,Rs 240.00,Rs 260.00,Rs 250.00
Pomegranate,4/21/2024,KG,Rs 250.00,Rs 300.00,Rs 276.67
Grapes(Green),4/21/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Grapes(Black),4/21/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Orange(Indian),4/21/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Water Melon(Green),4/21/2024,KG,Rs 45.00,Rs 50.00,Rs 47.67
Sweet Orange,4/21/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Mandarin,4/21/2024,KG,Rs 250.00,Rs 300.00,Rs 276.67
Pineapple,4/21/2024,1 Pc,Rs 150.00,Rs 160.00,Rs 155.00
Cucumber(Local),4/21/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cucumber(Hybrid),4/21/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Jack Fruit,4/21/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Papaya(Nepali),4/21/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Papaya(Indian),4/21/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Kinnow,4/21/2024,KG,Rs 120.00,Rs 150.00,Rs 133.33
Strawberry,4/21/2024,KG,Rs 350.00,Rs 400.00,Rs 376.67
Kiwi,4/21/2024,KG,Rs 450.00,Rs 500.00,Rs 476.67
Avocado,4/21/2024,KG,Rs 550.00,Rs 600.00,Rs 576.67
Amla,4/21/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Ginger,4/21/2024,KG,Rs 260.00,Rs 280.00,Rs 270.00
Chilli Dry,4/21/2024,KG,Rs 400.00,Rs 450.00,Rs 426.67
Chilli Green,4/21/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Chilli Green(Bullet),4/21/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Chilli Green(Machhe),4/21/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Chilli Green(Akbare),4/21/2024,KG,Rs 250.00,Rs 300.00,Rs 276.67
Capsicum,4/21/2024,KG,Rs 130.00,Rs 140.00,Rs 135.00
Garlic Green,4/21/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Coriander Green,4/21/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Garlic Dry Chinese,4/21/2024,KG,Rs 270.00,Rs 280.00,Rs 275.00
Garlic Dry Nepali,4/21/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Clive Dry,4/21/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Clive Green,4/21/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Fish Fresh(Rahu),4/21/2024,KG,Rs 330.00,Rs 360.00,Rs 343.33
Fish Fresh(Bachuwa),4/21/2024,KG,Rs 250.00,Rs 260.00,Rs 255.00
Fish Fresh(Chhadi),4/21/2024,KG,Rs 250.00,Rs 280.00,Rs 266.67
Fish Fresh(Mungari),4/21/2024,KG,Rs 330.00,Rs 350.00,Rs 340.00
Tomato Big(Indian),4/20/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),4/20/2024,KG,Rs 25.00,Rs 35.00,Rs 30.00
Tomato Small(Indian),4/20/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Tomato Small(Terai),4/20/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Potato Red,4/20/2024,KG,Rs 45.00,Rs 50.00,Rs 47.80
Potato Red(Indian),4/20/2024,KG,Rs 46.00,Rs 48.00,Rs 47.00
Potato White,4/20/2024,KG,Rs 38.00,Rs 40.00,Rs 39.00
Onion Dry (Indian),4/20/2024,KG,Rs 65.00,Rs 70.00,Rs 67.50
Carrot(Local),4/20/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Carrot(Terai),4/20/2024,KG,Rs 25.00,Rs 35.00,Rs 30.00
Cabbage(Local),4/20/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Cauli Local,4/20/2024,KG,Rs 50.00,Rs 70.00,Rs 60.00
Cauli Local(Jyapu),4/20/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Raddish White(Local),4/20/2024,KG,Rs 25.00,Rs 35.00,Rs 30.00
Raddish White(Hybrid),4/20/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Long,4/20/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Brinjal Round,4/20/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cow pea(Long),4/20/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Green Peas,4/20/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
French Bean(Local),4/20/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
French Bean(Hybrid),4/20/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
French Bean(Rajma),4/20/2024,KG,Rs 110.00,Rs 130.00,Rs 120.00
Sword Bean,4/20/2024,KG,Rs 100.00,Rs 110.00,Rs 106.67
Bitter Gourd,4/20/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bottle Gourd,4/20/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Pointed Gourd(Local),4/20/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Pointed Gourd(Terai),4/20/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Snake Gourd,4/20/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Smooth Gourd,4/20/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pumpkin,4/20/2024,KG,Rs 40.00,Rs 45.00,Rs 42.50
Squash(Long),4/20/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),4/20/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Okara,4/20/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Sweet Potato,4/20/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Barela,4/20/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Christophine,4/20/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Brd Leaf Mustard,4/20/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Spinach Leaf,4/20/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Cress Leaf,4/20/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Mustard Leaf,4/20/2024,KG,Rs 30.00,Rs 40.00,Rs 36.67
Fenugreek Leaf,4/20/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Onion Green,4/20/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Bakula,4/20/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Yam,4/20/2024,KG,Rs 100.00,Rs 110.00,Rs 105.00
Mushroom(Kanya),4/20/2024,KG,Rs 120.00,Rs 150.00,Rs 135.00
Mushroom(Button),4/20/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Neuro,4/20/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Brocauli,4/20/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Sugarbeet,4/20/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Drumstick,4/20/2024,KG,Rs 90.00,Rs 100.00,Rs 93.33
Bauhania flower,4/20/2024,KG,Rs 150.00,Rs 200.00,Rs 183.33
Red Cabbbage,4/20/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Lettuce,4/20/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Knolkhol,4/20/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Celery,4/20/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Parseley,4/20/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Fennel Leaf,4/20/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Mint,4/20/2024,KG,Rs 120.00,Rs 150.00,Rs 135.00
Turnip A,4/20/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Tamarind,4/20/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,4/20/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,4/20/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,4/20/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Fuji),4/20/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Banana,4/20/2024,Per Dozen,Rs 130.00,Rs 140.00,Rs 136.67
Lime,4/20/2024,KG,Rs 240.00,Rs 260.00,Rs 250.00
Pomegranate,4/20/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Grapes(Green),4/20/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Grapes(Black),4/20/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Orange(Indian),4/20/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Water Melon(Green),4/20/2024,KG,Rs 45.00,Rs 50.00,Rs 48.33
Sweet Orange,4/20/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Mandarin,4/20/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Pineapple,4/20/2024,1 Pc,Rs 150.00,Rs 160.00,Rs 155.00
Cucumber(Local),4/20/2024,KG,Rs 60.00,Rs 80.00,Rs 70.00
Cucumber(Hybrid),4/20/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Jack Fruit,4/20/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Papaya(Nepali),4/20/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Papaya(Indian),4/20/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Kinnow,4/20/2024,KG,Rs 120.00,Rs 150.00,Rs 135.00
Strawberry,4/20/2024,KG,Rs 350.00,Rs 400.00,Rs 375.00
Kiwi,4/20/2024,KG,Rs 450.00,Rs 500.00,Rs 475.00
Avocado,4/20/2024,KG,Rs 550.00,Rs 600.00,Rs 575.00
Amla,4/20/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Ginger,4/20/2024,KG,Rs 260.00,Rs 280.00,Rs 270.00
Chilli Dry,4/20/2024,KG,Rs 400.00,Rs 450.00,Rs 425.00
Chilli Green,4/20/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Chilli Green(Bullet),4/20/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Chilli Green(Machhe),4/20/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Chilli Green(Akbare),4/20/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Capsicum,4/20/2024,KG,Rs 130.00,Rs 150.00,Rs 142.00
Garlic Green,4/20/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Coriander Green,4/20/2024,KG,Rs 50.00,Rs 70.00,Rs 60.00
Garlic Dry Chinese,4/20/2024,KG,Rs 270.00,Rs 280.00,Rs 276.67
Garlic Dry Nepali,4/20/2024,KG,Rs 150.00,Rs 160.00,Rs 156.67
Clive Dry,4/20/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Clive Green,4/20/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Fish Fresh(Rahu),4/20/2024,KG,Rs 330.00,Rs 350.00,Rs 340.00
Fish Fresh(Bachuwa),4/20/2024,KG,Rs 250.00,Rs 260.00,Rs 255.00
Fish Fresh(Chhadi),4/20/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Fish Fresh(Mungari),4/20/2024,KG,Rs 330.00,Rs 350.00,Rs 340.00
Tomato Big(Indian),4/19/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),4/19/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Tomato Small(Indian),4/19/2024,KG,Rs 25.00,Rs 35.00,Rs 30.00
Tomato Small(Terai),4/19/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Potato Red,4/19/2024,KG,Rs 50.00,Rs 55.00,Rs 52.50
Potato Red(Indian),4/19/2024,KG,Rs 46.00,Rs 48.00,Rs 47.00
Potato White,4/19/2024,KG,Rs 40.00,Rs 42.00,Rs 41.00
Onion Dry (Indian),4/19/2024,KG,Rs 65.00,Rs 70.00,Rs 68.00
Carrot(Local),4/19/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Carrot(Terai),4/19/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cabbage(Local),4/19/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local,4/19/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cauli Local(Jyapu),4/19/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Raddish White(Local),4/19/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish White(Hybrid),4/19/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Long,4/19/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Brinjal Round,4/19/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cow pea(Long),4/19/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Green Peas,4/19/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
French Bean(Local),4/19/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
French Bean(Hybrid),4/19/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
French Bean(Rajma),4/19/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Sword Bean,4/19/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Bitter Gourd,4/19/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Bottle Gourd,4/19/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pointed Gourd(Local),4/19/2024,KG,Rs 110.00,Rs 120.00,Rs 116.67
Pointed Gourd(Terai),4/19/2024,KG,Rs 110.00,Rs 120.00,Rs 116.67
Snake Gourd,4/19/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Smooth Gourd,4/19/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pumpkin,4/19/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Squash(Long),4/19/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),4/19/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Okara,4/19/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Sweet Potato,4/19/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Barela,4/19/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Christophine,4/19/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Brd Leaf Mustard,4/19/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Spinach Leaf,4/19/2024,KG,Rs 110.00,Rs 120.00,Rs 116.67
Cress Leaf,4/19/2024,KG,Rs 110.00,Rs 120.00,Rs 116.67
Mustard Leaf,4/19/2024,KG,Rs 30.00,Rs 40.00,Rs 36.67
Fenugreek Leaf,4/19/2024,KG,Rs 110.00,Rs 120.00,Rs 116.67
Onion Green,4/19/2024,KG,Rs 40.00,Rs 50.00,Rs 46.67
Bakula,4/19/2024,KG,Rs 100.00,Rs 110.00,Rs 106.67
Yam,4/19/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mushroom(Kanya),4/19/2024,KG,Rs 130.00,Rs 150.00,Rs 140.00
Mushroom(Button),4/19/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Asparagus,4/19/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Neuro,4/19/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Brocauli,4/19/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Sugarbeet,4/19/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Drumstick,4/19/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Bauhania flower,4/19/2024,KG,Rs 250.00,Rs 260.00,Rs 256.67
Red Cabbbage,4/19/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Lettuce,4/19/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Knolkhol,4/19/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Celery,4/19/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Parseley,4/19/2024,KG,Rs 150.00,Rs 160.00,Rs 156.67
Fennel Leaf,4/19/2024,KG,Rs 110.00,Rs 120.00,Rs 116.67
Mint,4/19/2024,KG,Rs 120.00,Rs 150.00,Rs 135.00
Turnip A,4/19/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Tamarind,4/19/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,4/19/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,4/19/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,4/19/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Jholey),4/19/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Apple(Fuji),4/19/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Banana,4/19/2024,Per Dozen,Rs 130.00,Rs 140.00,Rs 136.67
Lime,4/19/2024,KG,Rs 240.00,Rs 260.00,Rs 250.00
Pomegranate,4/19/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Grapes(Green),4/19/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Grapes(Black),4/19/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
